ST_FIPS,city_name,state,predicted_transparency_score,transparency_score,residual,ranking
535710,Jonesboro,Arkansas,5.9053576718596466,6,0.09464232814035345,71
3440680,Little Ferry borough,New Jersey,4.09482692068142,4,0.09482692068142029,72
619990,Duarte,California,4.097542067533941,4,0.0975420675339409,73
3469390,South Plainfield,New Jersey,5.098959056661207,5,0.09895905666120708,74
1214250,Coral Gables city,Florida,5.099352556205051,5,0.09935255620505057,75
645484,Manteca,California,5.8987862294774605,6,0.10121377052253955,76
3979562,Van Wert city (pt.),Ohio,3.8987460979842155,4,0.10125390201578455,77
2641420,Jackson,Michigan,5.8976844307546985,6,0.1023155692453015,78
669154,Santa Fe Springs city,California,3.896936000082536,4,0.10306399991746407,79
1729938,Glenview village,Illinois,5.896503932123168,6,0.10349606787683197,80
3904920,Bedford Heights,Ohio,4.1046644092775075,4,0.10466440927750753,81
1765611,Roscoe,Illinois,3.895145577158048,4,0.10485442284195212,82
4831328,Groves,Texas,3.8938273536861723,4,0.10617264631382772,83
3468430,Somers Point,New Jersey,4.10812720526333,4,0.10812720526333042,84
2747690,Oak Grove,Minnesota,3.890600657426656,4,0.10939934257334416,85
1239550,Lauderhill,Florida,5.890562089011132,6,0.10943791098886813,86
3682750,Woodbury village,New York,3.889302108931972,4,0.11069789106802785,87
2163912,Radcliff,Kentucky,4.111983500792997,4,0.11198350079299679,88
647766,Milpitas,California,5.886745143435849,6,0.11325485656415069,89
3050200,Missoula,Montana,5.886666443527082,6,0.11333355647291832,90
3413570,"""Cliffside Park",New Jersey,5.115407337593865,5,0.11540733759386512,91
1704845,Belleville,Illinois,5.8838725967657926,6,0.11612740323420745,92
2239475,Kenner,Louisiana,5.883282347450027,6,0.11671765254997268,93
4223304,Ellwood City borough,Pennsylvania,3.881943667462099,4,0.11805633253790093,94
4110750,Canby city,Oregon,3.881432118055103,4,0.1185678819448972,95
2846640,Meridian,Mississippi,4.8777336131124045,5,0.1222663868875955,96
2355225,Old Town city,Maine,3.8755689748518347,4,0.12443102514816529,97
3409250,Caldwell borough,New Jersey,3.8741523764939982,4,0.12584762350600176,98
4965330,St. George,Utah,6.127055314861062,6,0.12705531486106203,99
3404180,"""Beachwood",New Jersey,4.127802182455504,4,0.127802182455504,100
1816138,Crown Point,Indiana,4.870945745981104,5,0.1290542540188957,101
